"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"Titanfall 2","PC","","","","","","","X","","","","2023-12-03","First-Play","--","3:40:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","80","","2023-12-02 06:57:37","2025-10-26 16:39:38"
"To the Moon","PC","","X","","","","","","","","","","","--","--","","--","","--","","--","","--","","--","--","","Steam","0","","2023-07-12 00:46:15","2024-01-12 19:05:41"
"Toilet Chronicles","PC","","","","","","","X","","","","2022-07-26","First-Play","1:06:00","--","","--","","1:06:00","","--","","--","","--","--","","Steam","10","","2022-07-26 20:52:46","2023-05-09 22:59:24"
"Tokyo Xtreme Racer 3","Emulated","X","","","","","","","","","2026-01-27","","","22:28:00","--","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2026-01-29 20:12:56","2026-04-01 09:11:01"
"Tony Hawk's Pro Skater","Emulated","","","","","","","X","","","2025-07-22","2025-07-25","First-Play","--","6:36:00","Finished as Tony Hawk","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-07-22 12:09:19","2025-07-25 12:14:58"
"Touhou Fuumaroku ~ The Story of Eastern Wonderland","Emulated","","","","","","","X","","","","2023-10-06","First-Play","--","1:30:00","Bad Ending #3 Normal Difficulty","--","","--","","--","","--","","--","--","PC-98 / PC","Direct Download","50","","2023-10-06 17:41:44","2023-10-24 12:29:38"
"Touhou Gensoukyou ~ Lotus Land Story","Emulated","","","","","","","X","","","2024-09-24","2024-09-24","First-Play","--","00:49:00","Good ending #1","--","","--","","--","","--","","--","--","PC-98 / PC","Direct Download","50","","2024-09-24 16:24:11","2024-10-30 12:29:22"
"Touhou Kaikidan ~ Mystic Square","Emulated","","","","","","","X","","","2024-09-24","2024-09-30","First-Play","--","1:06:00","Good ending #1 Reimu","--","","--","","--","","--","","--","--","PC-98 / PC","Direct Download","50","","2024-09-24 21:20:45","2024-10-30 12:28:11"
"Touhou Koumakyou ~ The Embodiment of Scarlet Devil","PC","","","","","","","X","","","2024-10-02","2024-10-03","First-Play","--","00:28:00","Easy Mode - Reimu A","--","","--","","--","","--","","--","--","","Direct Download","50","","2024-10-02 21:13:07","2024-10-30 12:27:48"
"Touhou Luna Nights","PC","","","","","","","X","","","","2021-04-27","First-Play","16:01:00","16:01:00","","--","","--","","--","","--","","--","--","","Steam","70","","2021-07-19 19:37:07","2024-08-06 15:31:10"
