"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"NiGHTS into Dreams...","Emulated","","","","","","","X","","","2024-11-13","2025-12-15","First-Play","--","1:19:00","Not enough ranking to unlock final levels - 11.13.2024","4:48:00","Twin Seeds completed as Both characters","--","","--","","--","","--","--","SS / PC","Direct Download","60","","2024-11-13 19:01:01","2025-12-15 12:11:20"
"Nights: Journey of Dreams","Emulated","","","","","","","X","","","2024-11-14","2024-11-15","First-Play","--","3:28:00","Helen missions all C or above","--","","--","","--","","--","","--","--","Wii / PC","Direct Download","50","","2024-11-14 03:44:03","2024-11-15 07:34:13"
"Ninja Gaiden","Emulated","","","","","","","X","","","","2022-02-09","First-Play","--","00:56:44","","--","","--","","--","","--","","--","--","NES / PC","Direct Download","50","","2022-02-09 16:12:14","2025-01-10 20:51:56"
"Ninja Gaiden 2 Black","PC","","","","","","","X","","","2025-02-15","2025-02-20","First-Play","--","9:09:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","60","","2025-02-15 19:30:55","2025-02-20 19:09:02"
"Ninja Gaiden 3: Razor's Edge","PC","","","","","","","X","","","2025-02-21","2025-02-24","First-Play","2:32:00","9:31:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","50","","2025-02-21 17:05:25","2025-02-24 18:27:38"
"Ninja Gaiden 4","PC","","","","","","","X","","","2025-10-21","2025-10-23","First-Play","--","13:19:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","60","","2025-10-21 02:30:25","2025-10-23 12:41:28"
"Ninja Gaiden Black","Emulated","","","","","","","X","","","2025-01-25","2025-02-12","First-Play","--","15:51:00","","--","","--","","--","","--","","--","--","Xbox / PC","Direct Download","50","","2025-01-24 22:33:40","2025-02-12 06:16:25"
"No More Heroes","PC","","","","","","","X","","","","2024-03-15","First-Play","--","--","","10:53:00","Real Ending","--","","--","","--","","--","--","","Steam","70","","2024-03-09 03:17:44","2024-03-15 01:51:11"
"No More Heroes 2: Desperate Struggle","PC","","","","","","","X","","","","2024-03-22","First-Play","--","--","","7:13:00","","--","","--","","--","","--","--","","Steam","80","","2024-03-21 16:08:13","2024-03-21 22:08:32"
"No More Heroes III","PC","","","","","","","X","","","","2024-03-26","First-Play","--","--","","11:55:00","","--","","--","","--","","--","--","","Xbox Game Pass","60","","2024-03-22 14:31:00","2024-03-25 22:20:11"
"No Time To Explain","PC","","","","","","","X","","","2024-11-14","2024-11-15","First-Play","--","2:02:00","Finished Story","--","","--","","--","","--","","--","--","","Steam","50","","2024-11-14 06:36:06","2024-11-30 01:41:07"
"ŌKAMI","PC","","","","","","","X","","","2024-12-14","2025-01-10","First-Play","--","26:54:38","ŌKAMI HD","--","","--","","--","","--","","--","--","","Steam","70","","2025-01-10 04:37:35","2025-01-10 04:38:35"
"Oni","Emulated","","","","","","","","X","Motion sickness / PS2 version","","","","00:21:00","--","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","0","","2024-04-22 04:24:31","2024-10-20 16:58:09"
"Onimusha 2: Samurai's Destiny","Emulated","","","","","","","X","","","2025-09-14","2025-09-26","First-Play","--","--","","10:05:00","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2025-09-14 18:40:17","2025-09-26 00:51:18"
"Onimusha Blade Warriors","Emulated","","","","","","","X","","","2025-10-02","2025-10-02","First-Play","--","00:53:00","Beat with Samanosuke","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2025-10-02 13:58:06","2025-10-02 13:59:40"
"Onimusha: Warlords","Emulated","","","","","","","X","","","2025-01-10","2025-01-15","First-Play","--","6:11:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2025-01-10 04:30:42","2025-01-15 15:33:58"
"Operation: Tango","PC","","","","","","","X","","","","2022-01-06","First-Play","--","4:00:00","","--","","--","","--","","--","","--","--","","Steam","60","","2022-01-05 21:14:53","2022-05-26 21:39:19"
"Orcs Must Die! 3","PC","","","","","","","X","","","","2024-05-24","First-Play","--","5:18:00","Co-op Main Story","--","","--","","--","","--","","--","--","","Xbox Game Pass","50","","2024-05-24 19:42:45","2024-05-24 19:43:48"
"Ori and the Blind Forest: Definitive Edition","PC","","","","","","","X","","","","2024-02-26","First-Play","--","6:49:09","77%","--","","--","","--","","--","","--","--","","Steam","50","Don't care about the side content in the first 2 hours, come back when a few features are unlocked, otherwise the character is incredibly boring at the beginning of the game. and the game becomes unbearable","2024-02-22 05:02:06","2024-06-20 18:17:11"
"Ori and the Will of the Wisps","PC","","","","","","","X","","","","2024-06-20","First-Play","11:24:00","11:24:00","%54","--","","--","","--","","--","","--","--","","Steam","60","","2024-06-10 18:07:39","2024-06-20 18:16:12"
"Outcore: Desktop Adventure","PC","","","","","","","X","","","","2023-07-28","First-Play","2:54:00","2:54:00","","--","","--","","--","","--","","--","--","","Steam","60","","2023-07-24 15:46:50","2024-10-05 00:35:06"
"Outward","PC","","","","","","","X","","","","2024-09-13","First-Play","--","18:30:00","Co-op, Blue Chamber","--","","--","","--","","--","","--","--","","Steam","50","","2024-09-13 01:38:36","2025-01-03 19:46:45"
"P.N.03","Emulated","","","","","","","","X","Clunky gameplay","2025-03-16","","","00:16:00","--","","--","","--","","--","","--","","--","--","NGC / PC","Direct Download","0","","2025-03-16 18:48:49","2025-03-16 18:51:58"
"Papers, Please","PC","","","","","","","X","","","","2024-05-20","Replay","--","3:44:41","Ending : 20","--","","--","","--","","--","","--","--","","Steam","70","","2024-05-20 20:35:59","2024-05-20 20:37:26"
"Payday 3","PC","","","","","","","X","","","","2023-09-25","First-Play","--","10:47:00","Co-op - Finished all 8 missions on normal mode (Game Version 1.0.0.0.624677)","--","","--","","--","","--","","--","--","","Xbox Game Pass","50","","2023-09-24 23:11:01","2025-01-03 19:46:15"
"PEAK","PC","","","","","","","X","","","2025-06-24","2025-06-25","First-Play","--","9:40:00","4 Player","--","","--","","--","","--","","--","--","","Steam","60","","2025-06-25 03:25:15","2025-06-26 06:59:24"
"Persona 5 Royal","Nintendo Switch","","","","","","","X","","","2022-10-26","2025-10-30","First-Play","--","89:50:00","Main story Beaten + Maruki part unlocked but not played - 30.10.2025","--","","--","","--","","--","","--","--","","Nintendo eShop","60","The game is very long, and I realized that I needed to play such a long game on the Nintendo Switch, because I could only finish it in 1100 days. For this reason, my enjoyment of the game decreased incredibly. I didn't play the Royal part for the same reason, and it's very sad to sacrifice such a good game in such a ridiculous way.","2025-11-18 05:47:30","2025-11-18 05:48:24"
"Phantasy Star Online: Blue Burst","PC","","","","","","","X","","","2025-11-16","2026-01-09","First-Play","--","89:12:00","All Episodes - FOnewearl LvL 51","--","","--","","--","","--","","--","--","Ephinea","Direct Download","70","","2026-01-01 11:42:27","2026-01-08 21:02:55"
"PICO PARK","PC","","","","","","","X","","","","2021-09-08","First-Play","1:55:55","1:55:55","Co-op","--","","--","","--","","--","","--","--","","Steam","20","","2021-09-08 20:31:29","2025-01-03 19:44:36"
"Pikmin","Emulated","","","","","","","X","","","2024-09-16","2024-09-20","First-Play","--","--","","8:22:00","30/30 Ship Parts","--","","--","","--","","--","--","NGC / PC","Direct Download","60","","2024-09-16 21:31:35","2024-10-30 12:29:52"
"Pitfall!","Emulated","","","","","","","X","","","2025-01-04","2025-01-04","First-Play","--","00:35:00","","--","","--","","--","","--","","--","--","Atari 2600 / PC","Direct Download","50","","2025-01-03 22:19:49","2025-01-03 22:21:35"
"Pocket Fighter","Emulated","","","","","","","X","","","2025-10-10","2025-10-10","First-Play","--","00:30:00","Beat with Sakura","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-10-10 20:53:16","2025-10-10 20:54:01"
"Pokémon Brilliant Diamond and Shining Pearl","Nintendo Switch","","","","","","","X","","","","2022-07-18","First-Play","--","32:57:00","","33:26:00","","--","","--","","--","","--","--","","Physical","70","","2022-07-18 16:40:32","2023-04-04 04:02:17"
"Pokémon Legends: Arceus","Nintendo Switch","","","","","","","X","","","","2022-12-24","First-Play","--","22:21:00","","22:35:00","","--","","--","","--","","--","--","","Physical","60","","2022-12-24 02:45:12","2023-04-04 04:10:13"
"Poppy Playtime","PC","","","","","","","X","","","","2022-07-16","First-Play","00:48:00","00:48:00","","--","","--","","--","","--","","--","--","","Steam","20","","2022-07-16 19:27:20","2023-05-09 23:00:27"
"Portal","PC","","","","","","","X","","","","2020-01-23","Replay","--","2:51:00","","5:48:00","","--","","--","","--","","--","--","","Steam","60","","2023-03-23 22:54:37","2023-06-05 21:10:44"
"Portal","PC","","","X","","","","X","","","","2023-03-24","Replay","--","1:42:00","","--","","--","","--","","--","","--","--","","Steam","0","","2023-06-05 21:21:39","2023-09-12 18:00:42"
"Portal","PC","","","X","","","","X","","","","2024-01-17","Replay","--","1:42:00","","--","","--","","--","","--","","--","--","","Steam","0","","2024-01-17 20:02:42","2024-01-17 20:04:47"
"Portal","PC","","","X","","","","X","","","","2024-01-21","Replay","--","00:48:00","","--","","--","","--","","--","","--","--","","Steam","0","","2024-01-21 19:15:37","2024-01-21 19:15:56"
"Portal","PC","","","X","","","","X","","","","2024-01-22","Replay","--","00:45:00","","--","","--","","--","","--","","--","--","","Steam","0","","2024-01-22 18:55:12","2024-01-22 18:55:24"
"Portal","PC","","","X","","","","X","","","2025-02-16","2025-02-16","Replay","--","1:05:00","Portal with RTX","--","","--","","--","","--","","--","--","","Steam","0","","2025-02-16 18:40:36","2025-02-16 18:41:21"
"Portal","PC","","","X","","","","X","","","2025-12-12","2025-12-12","Replay","--","1:10:00","","--","","--","","--","","--","","--","--","","Steam","0","","2025-12-11 23:59:21","2025-12-11 23:59:40"
"Portal","PC","","","X","","","","X","","","2025-12-17","2025-12-17","Replay","--","00:48:00","","--","","--","","--","","--","","--","--","","Steam","0","","2025-12-18 01:43:14","2025-12-18 01:43:46"
"Portal","PC","","","X","","","","X","","","2025-12-18","2025-12-18","Replay","--","1:02:00","","--","","--","","--","","--","","--","--","","Steam","0","","2025-12-18 20:47:59","2025-12-18 20:48:23"
"Portal 2","PC","","","","","","","X","","","","2023-03-20","Replay","--","4:12:00","","--","","--","","--","","--","","--","--","","Steam","100","","2023-03-20 15:53:45","2023-06-15 17:02:58"
"Portal 2: Sixense MotionPack","PC","","","","","","","X","","","","2024-01-13","First-Play","--","00:53:19","vr controller was played","--","","--","","--","","--","","--","--","vr controller was played","Direct Download","40","","2024-01-12 19:04:56","2024-06-25 02:00:55"
"Portal Reloaded","PC","","","","","","","X","","","","2022-12-27","First-Play","--","6:00:00","","8:06:00","Single +  Co-op","--","","--","","--","","--","--","","Steam","60","","2022-12-27 20:42:57","2025-01-03 19:44:48"
"Portal Stories: Mel","PC","","","","","","","X","","","","2023-06-14","First-Play","5:19:00","5:19:00","","--","","--","","--","","--","","--","--","","Steam","60","","2023-06-14 12:20:14","2023-06-14 12:22:07"
"Portal Stories: VR","PC VR","","","","","","","X","","","","2023-06-18","First-Play","00:33:00","00:33:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-06-18 17:12:38","2024-06-25 02:01:00"
"Portal: Revolution","PC","","","","","","","X","","","","2024-01-13","First-Play","--","4:36:00","","--","","--","","--","","--","","--","--","","Steam","60","","2024-01-12 16:09:37","2024-01-13 17:52:29"
"Portal: The Flash Version","Browser","","","","","","","X","","","","2023-05-28","First-Play","1:08:34","1:08:34","","--","","--","","--","","--","","--","--","","","40","","2023-05-28 07:38:59","2024-06-25 02:01:07"
"Portal: The Flash Version MapPack","PC","","","","","","","X","","","","2023-06-05","First-Play","--","2:16:00","","--","","--","","--","","--","","--","--","","Steam","50","","2023-06-05 16:38:05","2023-08-15 18:28:16"
"Postal Redux","PC","","","","","","","X","","","","2022-09-06","First-Play","3:59:00","3:59:00","Co-op","--","","--","","--","","--","","--","--","","Steam","30","","2022-09-05 22:36:31","2025-01-03 19:45:26"
"Prince of Persia: The Lost Crown","PC","","","","","","","X","","","2025-11-24","2026-01-12","First-Play","--","20:24:00","66.5% Completion.","--","","--","","--","","--","","--","--","","Steam","60","","2026-01-01 11:44:21","2026-01-12 08:33:52"
"Princess Maker 2","Emulated","","","","","","","X","","","","2024-07-13","First-Play","--","4:47:00","Bandit Ending","--","","--","","--","","--","","--","--","DOS / PC","Direct Download","70","","2024-07-13 02:32:14","2024-07-13 02:34:25"
"Princess Maker 2 Refine","PC","","","","","","","X","","","","2020-02-07","First-Play","--","6:22:00","Dancer Ending","--","","--","","--","","--","","--","--","","Direct Download","70","","2021-07-19 21:05:28","2024-07-13 02:31:01"
"Princess Maker 4","Emulated","","","","","","","X","","","2025-07-11","2025-07-15","First-Play","--","2:48:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2025-07-11 21:37:04","2025-07-15 06:26:57"
"Princess Maker Refine","PC","","","","","","","X","","","","2024-08-19","First-Play","--","2:14:00","Noblewoman 1 (Baroness) Ending","--","","--","","--","","--","","--","--","","Direct Download","50","","2024-08-18 22:55:31","2024-08-19 16:50:55"
"Princess Maker: Faery Tales Come True","PC","","","","","","","X","","","","2024-08-23","First-Play","--","1:36:00","Teacher Ending","--","","--","","--","","--","","--","--","","Direct Download","40","","2024-08-23 18:27:10","2024-08-23 18:27:59"
"PuLiRuLa","Emulated","","","","","","","X","","","2025-01-10","2025-01-10","First-Play","--","00:36:00","","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","30","","2025-01-10 20:10:52","2025-01-10 20:50:37"
"Puyo Puyo Tetris","PC","","","","","","","X","","","","2023-08-10","First-Play","14:57:00","14:57:00","1-7","--","","--","","--","","--","","--","--","","Steam","50","","2023-08-10 15:09:46","2023-08-15 18:28:03"
"Puzzle Bobble","Emulated","","","","","","","X","","","2024-10-27","2024-10-28","First-Play","--","1:04:52","30 Stages","--","","--","","--","","--","","--","--","Neo Geo MVS / PC","Direct Download","50","","2024-10-27 21:13:21","2024-11-04 17:31:02"
"Q.U.B.E.: Director's Cut","PC","","","","","","","X","","","","2023-06-30","First-Play","2:40:00","2:40:00","","--","","--","","--","","--","","--","--","","Steam","50","","2023-06-29 22:22:10","2023-12-15 09:17:04"
"R4: Ridge Racer Type 4","Emulated","","","","","","","X","","","2025-03-24","2025-03-24","First-Play","--","1:15:00","","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","60","","2025-03-24 12:47:47","2025-03-24 12:48:30"
"Rage Racer","Emulated","","","","","","","","X","I played until class 4 track 3 but I couldn't stand it anymore the game's drift logic is broken","2024-12-10","","","4:46:00","--","","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","30","","2024-12-11 11:48:15","2024-12-11 13:40:44"
"Reanimal","PC","","","","","","","X","","","2026-03-20","2026-03-22","First-Play","--","4:27:00","Co-op","--","","--","","--","","--","","--","--","","Direct Download","50","","2026-03-21 22:29:46","2026-03-21 22:30:33"
"Record of Lodoss War: Deedlit in Wonder Labyrinth","PC","","","","","","","X","","","","2021-09-01","First-Play","8:22:00","--","","8:22:06","","--","","--","","--","","--","--","","Steam","60","","2021-07-19 21:16:11","2025-06-19 20:33:01"
"Resident Evil 4","PC","","","","","","","X","","","","2023-06-25","First-Play","15:14:00","15:14:00","","--","","--","","--","","--","","--","--","","Steam","70","","2023-05-09 22:45:29","2023-06-25 06:33:48"
"Resident Evil 4: Assignment Ada","PC","","","","","","","X","","","","2023-06-27","First-Play","--","--","","00:54:00","","--","","--","","--","","--","--","","Steam","50","","2023-06-27 16:27:09","2023-12-15 09:16:53"
"Resident Evil 4: Separate Ways","PC","","","","","","","X","","","","2023-06-26","First-Play","--","--","","3:52:06","","--","","--","","--","","--","--","","Steam","50","","2023-06-26 14:18:49","2025-02-02 19:19:55"
"Resident Evil 5","PC","","","","","","","X","","","","2024-06-26","First-Play","4:52:00","11:08:00","Co-op","--","","--","","--","","--","","--","--","","Steam","50","","2024-06-08 22:07:24","2025-01-03 19:46:23"
"Resident Evil 5: Desperate Escape","PC","","","","","","","X","","","","2024-07-07","First-Play","--","00:27:00","Co-op","--","","--","","--","","--","","--","--","","Steam","50","","2024-07-06 23:50:06","2025-01-03 19:44:04"
"Resident Evil 5: Lost In Nightmares","PC","","","","","","","X","","","","2024-06-26","First-Play","--","00:51:00","Co-op","--","","--","","--","","--","","--","--","","Steam","50","","2024-06-26 00:05:23","2025-01-03 19:44:11"
"Resident Evil 6","PC","","","","","","","","X","coop friend left the game","","","","8:00:00","--","","--","","--","","--","","--","","--","--","","Steam","50","","2024-07-07 15:34:24","2025-02-09 01:19:47"
"Resident Evil Requiem","PC","","","","","","","X","","","2026-02-27","2026-03-10","First-Play","7:36:00","14:39:00","Standard difficulty - Good Ending","--","","--","","--","","--","","--","--","","Steam","70","","2026-02-27 07:24:45","2026-03-10 10:29:41"
"Resident Evil Village","PC","","","","","","","X","","","","2021-05-12","First-Play","--","9:25:00","","--","","--","","--","","--","","--","--","","Steam","60","","2021-07-19 21:15:37","2022-05-26 21:45:32"
"Rexaura","PC","","","","","","","X","","","","2023-06-05","First-Play","3:19:00","3:19:00","","--","","--","","--","","--","","--","--","","Steam","50","","2023-06-05 15:41:17","2023-08-15 18:31:44"
"Rez Infinite","PC VR","","","","","","","X","","","2025-12-28","2025-12-28","First-Play","--","1:41:00","","--","","--","","--","","--","","--","--","","Direct Download","60","","2025-12-28 04:57:31","2025-12-28 05:03:02"
"Ridge Racer","Emulated","","","","","","","X","","","2024-12-05","2024-12-06","First-Play","--","1:07:00","1st on 4 Tracks, No extra","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","60","","2024-12-05 11:22:04","2024-12-23 08:06:06"
"Ridge Racer 2","Emulated","","","","","","","X","","","2024-12-08","2024-12-08","First-Play","--","--","","1:03:51","I finished 1st in 4 races","--","","--","","--","","--","--","Namco System 22 / PC","Direct Download","60","","2024-12-08 15:32:42","2024-12-08 15:35:34"
"Ridge Racer Revolution","Emulated","","","","","","","X","","","2024-12-09","2024-12-10","First-Play","--","1:11:00","No Extra Course","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2024-12-10 08:16:39","2024-12-10 09:16:05"
"Risk of Rain 2","PC","","","","","","","X","","","","2021-10-09","First-Play","--","41:40:00","","--","","--","","--","","--","","--","--","","Steam","80","","2021-10-09 01:19:03","2025-01-03 19:41:11"
"Risk of Rain Returns","PC","","","","","","","X","","","","2023-11-12","First-Play","5:11:00","5:11:00","Damage 200% - 10% Rainstorm - Bandit","--","","--","","--","","--","","--","--","","Steam","50","","2023-11-12 14:27:27","2023-11-12 15:31:03"
"Rocket Knight Adventures","Emulated","","","","","","","X","","","2025-03-27","2025-03-28","First-Play","--","1:38:00","","--","","--","","--","","--","","--","--","SMD / PC","Direct Download","60","","2025-03-27 18:19:31","2025-03-28 15:57:56"
"Rockstar Games Presents Table Tennis","Emulated","","","","","","","X","","","","2024-07-25","First-Play","--","1:03:00","Tourment - Easy Completed","--","","--","","--","","--","","--","--","X360 / PC","Steam","50","","2024-07-24 22:13:47","2024-11-04 17:24:32"
"Romeo is a Dead Man","PC","","","","","","","X","","","2026-02-11","2026-02-18","First-Play","--","--","","16:24:00","","--","","--","","--","","--","--","","Steam","60","","2026-02-11 19:06:31","2026-02-18 16:37:33"
"Sam & Dan: Floaty Flatmates","PC VR","","","","","","","X","","","","2022-03-16","First-Play","--","1:18:00","Co-op","--","","--","","--","","--","","--","--","","Steam","20","","2022-03-15 21:40:05","2025-01-03 19:44:20"
"Save Room - Organization Puzzle","PC","","","","","","","X","","","","2022-06-17","First-Play","1:53:00","1:53:00","","--","","--","","--","","--","","--","--","","Steam","60","","2022-06-17 18:35:18","2022-06-17 18:35:50"
"SCP - Containment Breach","PC","","","","","","","X","","","","2021-05-28","First-Play","3:00:00","3:00:00","Co-op","--","","--","","--","","--","","--","--","","Direct Download","20","","2021-07-19 21:13:59","2025-01-03 19:45:07"
"Secret of Mana","Emulated","","","","","","","","X","Combat is boring.","2026-01-19","","","1:45:00","--","","--","","--","","--","","--","","--","--","SNES / PC","Direct Download","0","","2026-01-19 12:43:01","2026-01-19 12:44:13"
"Sega Rally Championship","Emulated","","","","","","","X","","","2025-12-11","2025-12-15","First-Play","--","1:52:00","Normal difficulty (extra stage excluded).","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2025-12-15 05:59:52","2025-12-15 06:04:50"
"Sekiro: Shadows Die Twice","PC","","","","","","","X","","","","2024-07-03","First-Play","--","--","","22:47:27","Purification Ending - Main Boss 17/17 - Vitality 17","--","","--","","--","","--","--","","Steam","90","","2022-08-29 18:49:58","2025-04-08 20:48:14"
"Senua's Saga: Hellblade II","PC","","","","","","","X","","","","2024-05-31","First-Play","--","6:17:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","30","","2024-05-26 17:41:33","2024-05-31 08:37:33"
"Serious Sam 2","PC","","","","","","","X","","","","2020-09-17","Replay","11:59:00","11:59:00","","--","","--","","--","","--","","--","--","","Steam","10","","2021-07-19 21:10:33","2023-06-18 10:08:52"
"Severed Steel","PC","","","","","","","X","","","","2022-10-23","First-Play","1:36:00","2:36:00","","--","","--","","--","","--","","--","--","","Steam","60","","2022-10-23 00:11:22","2022-10-23 00:12:16"
"Shantae and the Seven Sirens","PC","","","","","","","X","","","","2023-08-22","First-Play","5:22:00","--","","8:01:02","Definitive mode, 78% item collection","--","","--","","--","","--","--","","Steam","70","","2023-08-09 00:35:13","2023-08-22 09:48:51"
"Shantae: Half-Genie Hero","PC","","","","","","","X","","","","2024-09-02","First-Play","--","4:08:41","67% item collection","--","","--","","--","","--","","--","--","","Steam","70","","2024-08-31 23:58:20","2024-09-02 13:58:43"
"Shape of Dreams","PC","","","","","","","X","","","2025-09-19","2025-09-23","First-Play","--","12:03:00","First Run Cleared.","--","","--","","--","","--","","--","--","","Steam","60","","2025-09-19 05:21:20","2025-09-26 00:51:51"
"Sifu","PC","","","","","","","X","","","","2023-11-13","First-Play","7:54:00","7:54:00","The Club 22 Age – The Museum 26 Age – The Tower 28 Age – The Sanctuary 41 Age - Final 60 Years old","--","","--","","--","","--","","--","--","","Steam","80","","2023-11-11 20:22:00","2023-11-13 13:46:25"
"Silent Hill 2","Emulated","","","","","","","X","","","2024-10-08","2024-10-18","First-Play","--","9:06:00","In Water Ending","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2024-10-08 20:47:50","2024-10-30 12:25:08"
"Silent Hill f","PC","","","","","","","X","","","2025-09-25","2025-10-03","First-Play","--","9:25:00","Action: Story Puzzles: Hard - 1st Ending","--","","--","","--","","--","","--","--","","Steam","60","","2025-09-25 08:02:23","2025-10-03 13:28:10"
"Snipperclips Plus","Emulated","","","","","","","X","","","","2024-06-28","First-Play","--","--","","6:21:00","Co-op","--","","--","","--","","--","--","NS / PC","Direct Download","50","","2024-06-27 22:04:37","2025-01-03 19:45:50"
"Solasta: Crown of the Magister","PC","X","","","","","","","","","2026-03-12","","","15:40:00","--","","--","","--","","--","","--","","--","--","","Steam","60","","2026-03-12 19:42:15","2026-03-15 15:56:17"
"Sonic Adventure 2 Battle","Emulated","","","","","","","X","","","2025-11-13","2025-11-20","First-Play","--","--","","8:28:00","Hero, Dark, Last Stories Completed","--","","--","","--","","--","--","NGC / PC","Direct Download","60","","2025-11-13 02:32:36","2025-11-20 12:59:05"
"Sonic Adventure DX","Emulated","","","","","","","X","","","2024-11-10","2024-11-12","First-Play","1:06:00","3:25:00","Sonic story only","--","","--","","--","","--","","--","--","NGC / PC","Direct Download","50","","2024-11-10 15:15:10","2024-11-12 17:26:24"
"Sonic CD","Emulated","","","","","","","X","","","2024-10-29","2024-10-29","First-Play","--","1:22:00","Bad ending","--","","--","","--","","--","","--","--","SMD / PC","Direct Download","40","","2024-10-29 10:52:02","2024-10-30 11:29:29"
"Sonic the Hedgehog","Emulated","","","","","","","X","","","","2024-06-29","First-Play","--","1:44:00","Beaten with No emeralds.","--","","--","","--","","--","","--","--","SMD / PC","Direct Download","40","","2024-06-29 08:26:14","2024-06-29 17:57:17"
"Sonic the Hedgehog 2","Emulated","","","","","","","X","","","","2024-08-13","First-Play","--","2:18:00","1 Emerald","--","","--","","--","","--","","--","--","SMD / PC","Direct Download","40","","2024-08-12 19:28:06","2024-08-13 14:05:35"
"Sonic the Hedgehog 3","Emulated","","","","","","","X","","","2024-10-31","2024-11-01","First-Play","--","2:10:00","Bad Ending","--","","--","","--","","--","","--","--","SMD / PC","Direct Download","50","","2024-10-31 15:48:28","2024-11-01 09:48:53"
"Sonic the Hedgehog 3 & Knuckles","Emulated","","","","","","","X","","","2025-06-22","2025-06-22","First-Play","--","2:05:00","After Sonic 3, from Zone 7 onwards. - Death Egg Ending","--","","--","","--","","--","","--","--","SMD / PC","Direct Download","50","","2025-06-22 04:53:43","2025-06-22 07:23:01"
"Splatoon 2","Nintendo Switch","","","","","","","X","","","","2022-06-26","First-Play","--","5:00:00","","--","","--","","--","","--","","--","--","","Physical","60","","2022-06-25 21:13:47","2023-05-09 22:55:07"
"Split Fiction","PC","","","","","","","X","","","2025-03-06","2025-03-12","First-Play","--","--","","11:57:00","Main Story + Side Stories","--","","--","","--","","--","--","","Steam","70","","2025-03-06 21:44:10","2025-03-12 20:44:16"
"Star Fox","Emulated","","","","","","","X","","","2025-01-28","2025-01-29","First-Play","--","1:08:00","Level 1 Ending","--","","--","","--","","--","","--","--","SNES / PC","Direct Download","50","","2025-01-29 09:25:00","2025-01-29 09:26:25"
"Star Fox 64","Emulated","","","","","","","X","","","2025-01-29","2025-01-29","First-Play","--","1:27:00","","--","","--","","--","","--","","--","--","N64 / PC","Direct Download","50","","2025-01-29 11:46:14","2025-01-29 11:47:11"
"Stellar Settlers: Space Base Builder","PC","","","","","","","X","","","","2024-03-20","First-Play","--","1:36:00","One Run Finish","--","","--","","--","","--","","--","--","","Steam","60","","2024-03-20 19:08:28","2024-03-20 19:08:28"
"Street Fighter","Emulated","","","","","","","X","","","2025-01-01","2025-01-01","First-Play","--","00:50:02","Beat with Ryu","--","","--","","--","","--","","--","--","Capcom Play System / PC","Direct Download","20","","2025-01-01 14:29:14","2025-09-28 18:53:15"
"Street Fighter Alpha 2","Emulated","","","","","","","X","","","2025-09-29","2025-09-29","First-Play","--","00:37:00","Beat with Ryu","--","","--","","--","","--","","--","--","Capcom Play System 2 / PC","Direct Download","50","","2025-09-29 05:00:53","2025-09-29 05:01:18"
"Street Fighter Alpha 3","Emulated","","","","","","","X","","","2025-10-01","2025-10-01","First-Play","--","00:42:00","Beat with Sakura","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-10-01 12:35:27","2025-10-01 12:37:49"
"Street Fighter Alpha: Warriors' Dreams","Emulated","","","","","","","X","","","2025-09-28","2025-09-28","First-Play","--","00:32:00","Beat with Ryu","--","","--","","--","","--","","--","--","Capcom Play System 2 / PC","Direct Download","50","","2025-09-28 18:50:39","2025-09-28 18:52:45"
"Street Fighter EX Plus Alpha","Emulated","","","","","","","X","","","2025-09-30","2025-09-30","First-Play","--","00:53:00","Beat with Sakura","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-09-30 05:12:01","2025-10-01 10:43:02"
"Street Fighter EX2 Plus","Emulated","","","","","","","X","","","2025-10-01","2025-10-01","First-Play","--","00:36:00","Beat with Sharon","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-10-01 10:40:42","2025-10-01 10:42:22"
